window_id,conversation_id,user_id,sample_group,target_is_liked,target_is_disliked,target_message_idx,conversation_message_count,conversation_total_likes,conversation_total_dislikes,CS,FD,CP,CN,TD,TC,DF,CQI,judge_model
a8f628d8615f,349ade94eb3c,6ba4997ac050,disliked,False,True,213,286,0,1,2,2,3,2,3,2,3,2.33,claude-opus-4-6
089f5769ae0f,05f98b1401c9,0f95da278aa7,liked,True,False,27,32,1,0,3,3,3,3,3,4,5,3.17,claude-opus-4-6
f2b8dd133fdd,a121ac33b904,ba4f4fff49d5,neutral,False,False,6,14,0,0,4,5,3,5,5,5,6,4.5,claude-opus-4-6
35bfb309e1bb,a121ac33b904,ba4f4fff49d5,neutral,False,False,8,14,0,0,5,5,3,5,5,5,6,4.67,claude-opus-4-6
e052ed72f825,31ea94328119,29b42e0a5ab4,liked,True,False,71,222,10,0,3,3,3,4,4,4,5,3.5,claude-opus-4-6
1be38e1b1c71,31ea94328119,29b42e0a5ab4,liked,True,False,85,222,10,0,3,3,4,4,4,4,5,3.67,claude-opus-4-6
c9544e68ea95,31ea94328119,29b42e0a5ab4,liked,True,False,201,222,10,0,2,2,3,2,3,3,4,2.5,claude-opus-4-6
5df122275989,590ae8a7a484,197bab4f77c9,liked,True,False,701,722,2,0,4,3,4,3,4,4,5,3.67,claude-opus-4-6
56a25e3c3b8f,579d44703eb3,4111558d77d2,neutral,False,False,6,12,0,0,4,4,4,4,4,4,6,4.0,claude-opus-4-6
a2747d5d9a12,579d44703eb3,4111558d77d2,neutral,False,False,8,12,0,0,4,4,4,4,5,4,6,4.17,claude-opus-4-6
13dcfd670a43,a914c1e636cb,a55f22b1da55,liked,True,False,255,308,41,0,3,3,4,3,3,4,5,3.33,claude-opus-4-6
4d4899463df0,a914c1e636cb,a55f22b1da55,liked,True,False,305,308,41,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
b820387294f7,aed37e36261f,ca1160d25d41,disliked,False,True,2588,3243,3,3,1,1,3,2,1,1,1,1.5,claude-opus-4-6
151db65227fc,64b2296bb16f,334d8cff4885,liked,True,False,49,53,4,0,3,3,4,4,4,4,5,3.67,claude-opus-4-6
81b824c31249,409799161d65,7e7302ce1921,liked,True,False,1067,1556,22,4,4,3,4,4,4,4,5,3.83,claude-opus-4-6
50f19e553de3,430c25031b5a,c5ed518e404b,disliked,False,True,1216,1483,0,3,4,3,5,3,4,4,5,3.83,claude-opus-4-6
27c79e568af7,c4689e0bde92,57609e3ab515,liked,True,False,23,43,1,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
972f903f3637,f052e610493f,f234e1df8638,liked,True,False,437,1651,14,0,4,4,5,4,4,4,5,4.17,claude-opus-4-6
e9267a3da920,a4170802209c,b3be9bea0ff8,disliked,False,True,6,8,0,1,3,3,3,4,4,4,6,3.5,claude-opus-4-6
e2aca6c5a3fe,4abc2edcdd68,9e932f77a54d,disliked,False,True,64,119,1,1,3,2,4,3,3,2,4,2.83,claude-opus-4-6
9bde1c299b83,3afd0d24f6fc,415b819981aa,disliked,False,True,435,496,0,1,2,2,3,2,2,2,3,2.17,claude-opus-4-6
ab40ec4eb50b,ec118a98e4a0,ca5fc1cf9348,neutral,False,False,25,62,0,0,4,4,5,4,4,4,5,4.17,claude-opus-4-6
bfc1df128030,ec118a98e4a0,ca5fc1cf9348,neutral,False,False,59,62,0,0,4,4,5,4,5,4,5,4.33,claude-opus-4-6
cd3694acab21,4bb34f030b1a,08e42f970cfe,liked,True,False,39,80,4,0,4,4,5,4,4,4,5,4.17,claude-opus-4-6
55aa26d3e0cf,346da584d4ce,352f3da63f1e,liked,True,False,17,38,3,0,4,3,4,3,4,4,5,3.67,claude-opus-4-6
c8b1dc5d850c,654d2f2b4e81,e581a061d9a4,neutral,False,False,27,334,0,0,3,3,4,3,3,3,5,3.17,claude-opus-4-6
136edd18358b,654d2f2b4e81,e581a061d9a4,neutral,False,False,227,334,0,0,4,3,4,3,4,3,4,3.5,claude-opus-4-6
7736a0d5a3b1,2aab0b23d0a8,0b73833bc09c,liked,True,False,205,2045,2,0,4,3,5,4,4,3,4,3.83,claude-opus-4-6
7ff08ef719c1,e3df47bb8848,fd333d4f1536,disliked,False,True,45,60,0,1,3,3,4,3,3,3,5,3.17,claude-opus-4-6
9bae4d559358,5a600f06a2bd,87d8d0d23231,liked,True,False,77,115,6,0,5,5,5,5,5,5,6,5.0,claude-opus-4-6
74e8079f35c5,9eee50394c28,6a7dac9b6420,disliked,False,True,368,399,1,1,3,2,3,4,3,3,5,3.0,claude-opus-4-6
9d562728ed78,e92bae502a25,81857495c081,neutral,False,False,31,194,0,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
563830e40fd5,e92bae502a25,81857495c081,neutral,False,False,185,194,0,0,2,2,3,2,2,2,3,2.17,claude-opus-4-6
4a2e703d8f72,ada1e139be99,47b3cc0a136a,liked,True,False,448,623,2,0,2,2,3,2,2,2,3,2.17,claude-opus-4-6
e9f9e0cdca8f,5e0f531f83ab,eb6f94958c4a,disliked,False,True,5761,6353,13,1,3,3,4,2,3,1,2,2.67,claude-opus-4-6
886f637c3c6a,b6e390a61a36,43fdebaec51b,neutral,False,False,5,12,0,0,4,5,3,5,4,5,6,4.33,claude-opus-4-6
67bc50c7614e,b6e390a61a36,43fdebaec51b,neutral,False,False,7,12,0,0,4,4,4,4,4,5,6,4.17,claude-opus-4-6
2ed4170b4a78,f638c3729ced,de556814e595,liked,True,False,136,232,3,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
43f4516f7637,a560eca29008,2debf86fcdaa,disliked,False,True,9,148,2,2,4,3,5,3,4,4,5,3.83,claude-opus-4-6
